Date,Open,High,Low,Close,Volume,Adj Close
12/2/2016,743.400024,748.48999,400,740.340027,3499200,740.340027
12/1/2016,752.409973,753.369995,738.030029,743.650024,4626500,743.650024
11/30/2016,762,768.090027,750.25,750.570007,4580100,750.570007
11/29/2016,768,769.890015,761.320007,762.52002,3266500,762.52002
11/28/2016,776.98999,777,764.23999,766.77002,4380900,766.77002
11/25/2016,786.5,786.75,777.900024,780.369995,1832300,780.369995
11/23/2016,781.72998,781.75,773.119995,780.119995,3522500,780.119995
11/22/2016,788.169983,792.400024,781,785.330017,5304900,785.330017
11/21/2016,766,780.349976,765.109985,780,4595600,780
11/18/2016,761,767.73999,757.640015,760.159973,4301300,760.159973
11/17/2016,749.320007,757.5,748,756.400024,3651300,756.400024
11/16/2016,739.880005,749.869995,735.609985,746.48999,3601400,746.48999
11/15/2016,730,746.780029,725.98999,743.23999,6744600,743.23999
11/14/2016,745.51001,746,710.099976,719.070007,7283200,719.070007
11/11/2016,735.72998,743.26001,728.900024,739.01001,6594400,739.01001
11/10/2016,778.809998,778.830017,717.700012,742.380005,12742300,742.380005
11/9/2016,764,777.5,760.090027,771.880005,8550400,771.880005
11/8/2016,784.969971,791.73999,779.099976,787.75,3373300,787.75
11/7/2016,771.640015,787.72998,770.940002,784.929993,5984400,784.929993
11/4/2016,762.789978,766,753.22998,755.049988,5122100,755.049988
11/3/2016,765.049988,777,764,767.030029,3872500,767.030029
11/2/2016,783.929993,784.75,763.549988,765.559998,5026500,765.559998
11/1/2016,799,800.840027,776.710022,785.409973,5305400,785.409973
10/31/2016,781.030029,793.700012,780.109985,789.820007,5413300,789.820007
10/28/2016,782,789.48999,774.609985,776.320007,10841100,776.320007
10/27/2016,831.23999,831.719971,815.429993,818.359985,7406400,818.359985
10/26/2016,832.76001,833.440002,820,822.590027,3998100,822.590027
10/25/2016,839.299988,843.090027,833.219971,835.179993,3248400,835.179993
10/24/2016,824.950012,838.299988,822.210022,838.090027,4060900,838.090027
10/21/2016,809.359985,819.419983,809,818.98999,2793000,818.98999
10/20/2016,813.98999,815.710022,803.099976,810.320007,3152000,810.320007
10/19/2016,820.400024,820.669983,815.169983,817.690002,2090700,817.690002
10/18/2016,822.109985,823.26001,815.02002,817.650024,2512500,817.650024
10/17/2016,821.5,822,811.679993,812.950012,3361500,812.950012
10/14/2016,835.080017,835.73999,822.960022,822.960022,2999800,822.960022
10/13/2016,829,831.799988,821.210022,829.280029,3091400,829.280029
10/12/2016,834,837.669983,830.099976,834.090027,2380400,834.090027
10/11/2016,841.02002,841.289978,828.349976,831,3588200,831
10/10/2016,843.25,845.200012,840.27002,841.710022,1827100,841.710022
10/7/2016,845.789978,845.950012,837.450012,839.429993,2426200,839.429993
10/6/2016,843.700012,847.210022,840.599976,841.659973,2684000,841.659973
10/5/2016,838,845.669983,836.119995,844.359985,3469100,844.359985
10/4/2016,840.909973,842.369995,830.26001,834.030029,2950300,834.030029
10/3/2016,836,839.859985,831.25,836.73999,2769400,836.73999
9/30/2016,832.609985,839.950012,832.400024,837.309998,4430600,837.309998
9/29/2016,828.26001,837.5,824.630005,829.049988,4922200,829.049988
9/28/2016,818,830.140015,817.030029,828.719971,4422100,828.719971
9/27/2016,801.849976,816.640015,801.109985,816.109985,3819600,816.109985
9/26/2016,801.799988,805.929993,797.150024,799.159973,2651400,799.159973
9/23/2016,803.130005,807.75,802.119995,805.75,2353500,805.75
9/22/2016,794.27002,805.890015,794.27002,804.700012,4078900,804.700012
9/21/2016,783.25,790.690002,779.01001,789.73999,2718600,789.73999
9/20/2016,776,781.369995,776,780.219971,1937200,780.219971
9/19/2016,779.969971,781.940002,771,775.099976,2297200,775.099976
9/16/2016,773.280029,780.460022,771.659973,778.52002,5499200,778.52002
9/15/2016,762,770.869995,757.580017,769.690002,3034000,769.690002
9/14/2016,762.200012,767.5,758.849976,761.090027,2523000,761.090027
9/13/2016,768.77002,769.890015,759.049988,761.01001,3117200,761.01001
9/12/2016,757.349976,772.659973,756,771.48999,3124700,771.48999
9/9/2016,779.359985,781,760.109985,760.140015,4257300,760.140015
9/8/2016,783.890015,786.5,781.440002,784.059998,2030500,784.059998
9/7/2016,789.530029,790.789978,784.330017,784.47998,2424600,784.47998
9/6/2016,774.039978,789.47998,770.219971,788.869995,3719800,788.869995
9/2/2016,774.109985,776,771.700012,772.440002,2181800,772.440002
9/1/2016,770.900024,772.039978,766.75,770.619995,1792300,770.619995
8/31/2016,766.599976,769.640015,764,769.159973,1633800,769.159973
8/30/2016,771.049988,771.840027,765.559998,767.580017,1709200,767.580017
8/29/2016,768.719971,774.97998,768.599976,771.289978,2198600,771.289978
8/26/2016,760.049988,770,759.799988,769,2776800,769
8/25/2016,756,760.559998,754.73999,759.219971,1623000,759.219971
8/24/2016,763,763.409973,755.359985,757.25,1744100,757.25
8/23/2016,763.309998,764.700012,761,762.450012,1524100,762.450012
8/22/2016,757.5,759.849976,752.099976,759.47998,1679300,759.47998
8/19/2016,761.900024,762.48999,756.890015,757.309998,2343200,757.309998
8/18/2016,764,765.169983,760.599976,764.460022,1458800,764.460022
8/17/2016,764.409973,765.219971,759.200012,764.630005,1891100,764.630005
8/16/2016,768.619995,768.72998,763.820007,764.039978,1604600,764.039978
8/15/2016,771.900024,772.039978,767.710022,768.48999,2118500,768.48999
8/12/2016,768.460022,773.150024,768.419983,772.559998,1563300,772.559998
8/11/2016,769.940002,773.75,769.119995,771.23999,2019700,771.23999
8/10/2016,769.799988,772.099976,766.190002,768.559998,1604300,768.559998
8/9/2016,767.390015,772.599976,766.900024,768.309998,1876100,768.309998
8/8/2016,766.809998,767,761.02002,766.559998,1986300,766.559998
8/5/2016,764.809998,768.469971,763.090027,765.97998,2704400,765.97998
8/4/2016,753.700012,765,750.349976,760.77002,3178200,760.77002
8/3/2016,757.059998,758.890015,752.25,754.640015,3581500,754.640015
8/2/2016,763.809998,765.01001,757.02002,760.580017,3603300,760.580017
8/1/2016,759.869995,770.5,757.059998,767.73999,3578200,767.73999
7/29/2016,765,766,755,758.809998,6777100,758.809998
7/28/2016,745.97998,753.359985,739.700012,752.609985,7617600,752.609985
7/27/2016,737.969971,740.940002,733.859985,736.669983,2913100,736.669983
7/26/2016,742.710022,743.130005,732.75,735.590027,2529700,735.590027
7/25/2016,746.549988,748.5,735.349976,739.609985,2679300,739.609985
7/22/2016,747.789978,751.280029,743.530029,744.859985,2277700,744.859985
7/21/2016,747.5,749.359985,742.789978,744.429993,2317100,744.429993
7/20/2016,744,746.25,740.700012,745.719971,2214000,745.719971
7/19/2016,732.5,743.330017,732.309998,739.950012,2216800,739.950012
7/18/2016,735.48999,741.599976,728.719971,736.070007,2954900,736.070007
7/15/2016,746.549988,746.549988,734.049988,735.440002,3121400,735.440002
7/14/2016,748.859985,749.039978,739.02002,741.200012,2390500,741.200012
7/13/2016,746.76001,756.869995,741.25,742.630005,4142300,742.630005
